analysis_subset,c03_total_MAE,cancellation_ratio,cancellation_ratio_median,complete_subject_coverage,complete_subject_n,coverage,coverage_IQR,coverage_median,delta_total_MAE_IQR,delta_total_MAE_median,delta_total_MAE_vs_C03,fold,fold_improved_vs_C03,folds_improved_n,folds_total_n,item_MAE,item_NAE,item_NAE_IQR,item_NAE_median,level,method,model,proportion_folds_improved,repeat,scale,subject_n,total_MAE,total_MAE_IQR,total_MAE_max,total_MAE_median,total_MAE_min,total_RMSE
hamd99,3.35,0.5114664502164501,,1.0,20,1.0,,,,,0.19999999999999973,1.0,0.0,,,0.459375,0.14765625,,,outer_fold,Mean,GLM-5.2,,3.0,HAMD-17,20,3.55,,,,,5.084289527554465
hamd99,3.35,0.550400243031822,,1.0,20,1.0,,,,,0.1499999999999999,1.0,0.0,,,0.45625,0.146875,,,outer_fold,Median,GLM-5.2,,3.0,HAMD-17,20,3.5,,,,,5.422176684690384
hamd99,3.35,0.5649197860962567,,1.0,20,1.0,,,,,0.1499999999999999,1.0,0.0,,,0.44375,0.1453125,,,outer_fold,Ridge,GLM-5.2,,3.0,HAMD-17,20,3.5,,,,,4.979959839195493
hamd99,3.6,0.5942432567432567,,1.0,20,1.0,,,,,-0.3999999999999999,2.0,1.0,,,0.5125,0.1734375,,,outer_fold,B,GLM-5.2,,3.0,HAMD-17,20,3.2,,,,,4.183300132670378
hamd99,3.6,0.5545490620490621,,1.0,20,1.0,,,,,0.0,2.0,,,,0.50625,0.16875,,,outer_fold,C03,GLM-5.2,,3.0,HAMD-17,20,3.6,,,,,4.505552130427524
hamd99,3.6,0.5497619047619048,,1.0,20,1.0,,,,,-0.3999999999999999,2.0,1.0,,,0.45,0.1515625,,,outer_fold,ElasticNet,GLM-5.2,,3.0,HAMD-17,20,3.2,,,,,4.0743097574926725
hamd99,3.6,0.6169949494949496,,1.0,20,1.0,,,,,-0.6499999999999999,2.0,1.0,,,0.471875,0.16015625,,,outer_fold,Mean,GLM-5.2,,3.0,HAMD-17,20,2.95,,,,,3.8275318418009276
hamd99,3.6,0.5978354978354978,,1.0,20,1.0,,,,,-0.5500000000000003,2.0,1.0,,,0.471875,0.1609375,,,outer_fold,Median,GLM-5.2,,3.0,HAMD-17,20,3.05,,,,,3.788139384975162
hamd99,3.6,0.5606349206349207,,1.0,20,1.0,,,,,-0.4500000000000002,2.0,1.0,,,0.465625,0.1546875,,,outer_fold,Ridge,GLM-5.2,,3.0,HAMD-17,20,3.15,,,,,4.018706259482023
hamd99,3.45,0.6048885836385837,,1.0,20,1.0,,,,,-0.75,3.0,1.0,,,0.46875,0.15390625,,,outer_fold,B,GLM-5.2,,3.0,HAMD-17,20,2.7,,,,,3.8340579025361627
hamd99,3.45,0.505860805860806,,1.0,20,1.0,,,,,0.0,3.0,,,,0.446875,0.14296875,,,outer_fold,C03,GLM-5.2,,3.0,HAMD-17,20,3.45,,,,,4.598912915026768
