scale,analysis_layer,target_method,reference_method,metric,n,delta_target_minus_reference,ci_low,ci_high,p,q,direction
HAMD-17,HAMD17_strict_complete,CrossAI_Joint-A,C03_GLM-5.2,total_MAE_subject,60,-0.3010846560846561,-0.7632691798941802,0.1663518518518515,0.2181781821817818,0.2181781821817817,target lower (favorable for error)
HAMD-17,HAMD17_strict_complete,CrossAI_Joint-A,C03_GLM-5.2,item_NAE_subject,60,0.0097914721444133,-0.0008762449424214,0.0211096132897603,0.0906909309069093,0.0906909309069093,target higher
HAMD-17,HAMD17_strict_complete,CrossAI_Joint-A,C03_GLM-5.2,cancellation_ratio_subject,60,0.0411807030418141,-0.0132273643023643,0.0940899135586635,0.1388861113888611,0.1388861113888611,target higher
HAMD-17,HAMD17_strict_complete,CrossAI_Joint-A,C03_Kimi-K2.6,total_MAE_subject,62,-0.6451356886840757,-1.3057347670250896,0.0373540706605221,0.0680931906809319,0.2042795720427957,target lower (favorable for error)
HAMD-17,HAMD17_strict_complete,CrossAI_Joint-A,C03_Kimi-K2.6,item_NAE_subject,62,0.0098314056805517,-0.0009755165507063,0.0197505440348182,0.0810918908109189,0.0906909309069093,target higher
HAMD-17,HAMD17_strict_complete,CrossAI_Joint-A,C03_Kimi-K2.6,cancellation_ratio_subject,62,0.1351325327400596,0.0504338480615362,0.2202273048039177,0.0031996800319968,0.0095990400959904,target higher
HAMD-17,HAMD17_strict_complete,CrossAI_Joint-A,C03_Qwen3.7-Max,total_MAE_subject,56,-0.3878684807256236,-0.942936507936508,0.1581823979591835,0.1586841315868413,0.2181781821817817,target lower (favorable for error)
HAMD-17,HAMD17_strict_complete,CrossAI_Joint-A,C03_Qwen3.7-Max,item_NAE_subject,56,0.0190984727224223,0.0104825888688808,0.0282884716386554,9.999000099990002e-05,0.0002999700029997,target higher
HAMD-17,HAMD17_strict_complete,CrossAI_Joint-A,C03_Qwen3.7-Max,cancellation_ratio_subject,56,0.1073145802610088,0.0193522197048982,0.1909232082401724,0.0175982401759824,0.0263973602639736,target higher
HAMD-17,HAMD17_strict_complete,CrossAI_Joint-B,C03_GLM-5.2,total_MAE_subject,61,-0.2161007025761124,-0.6561999089253189,0.1764336130627111,0.3204679532046795,0.3451654834516548,target lower (favorable for error)
HAMD-17,HAMD17_strict_complete,CrossAI_Joint-B,C03_GLM-5.2,item_NAE_subject,61,0.0017670592827294,-0.007283879398754,0.0110975934089482,0.7199280071992801,0.831016898310169,target higher
HAMD-17,HAMD17_strict_complete,CrossAI_Joint-B,C03_GLM-5.2,cancellation_ratio_subject,61,0.0180253327761019,-0.0480662942147277,0.0852017079823509,0.5934406559344065,0.5934406559344065,target higher
HAMD-17,HAMD17_strict_complete,CrossAI_Joint-B,C03_Kimi-K2.6,total_MAE_subject,63,-0.5173658352229781,-1.0163698349710253,0.0317416225749552,0.060993900609939,0.182981701829817,target lower (favorable for error)
HAMD-17,HAMD17_strict_complete,CrossAI_Joint-B,C03_Kimi-K2.6,item_NAE_subject,63,0.0009662198212618,-0.0077073514591021,0.0106079654083855,0.831016898310169,0.831016898310169,target higher
HAMD-17,HAMD17_strict_complete,CrossAI_Joint-B,C03_Kimi-K2.6,cancellation_ratio_subject,63,0.1039940049065921,0.0176879730491786,0.1923904216710673,0.0218978102189781,0.0656934306569343,target higher
HAMD-17,HAMD17_strict_complete,CrossAI_Joint-B,C03_Qwen3.7-Max,total_MAE_subject,57,-0.2432539682539683,-0.7609804023948761,0.2569402673350038,0.3451654834516548,0.3451654834516548,target lower (favorable for error)
HAMD-17,HAMD17_strict_complete,CrossAI_Joint-B,C03_Qwen3.7-Max,item_NAE_subject,57,0.0103677289629302,0.0015437593165921,0.0202339258071649,0.0364963503649635,0.1094890510948905,target higher
HAMD-17,HAMD17_strict_complete,CrossAI_Joint-B,C03_Qwen3.7-Max,cancellation_ratio_subject,57,0.0775593861230747,-0.0157022041016954,0.1740420694123148,0.1166883311668833,0.1750324967503249,target higher
HAMD-17,HAMD17_strict_complete,CrossAI_Conservative-C,C03_GLM-5.2,total_MAE_subject,61,-0.1095173041894353,-0.502460154826958,0.2992577413479045,0.6031396860313969,0.6031396860313969,target lower (favorable for error)
HAMD-17,HAMD17_strict_complete,CrossAI_Conservative-C,C03_GLM-5.2,item_NAE_subject,61,-0.0020310993249758,-0.010698546153434,0.0066093264491588,0.6482351764823517,0.6559344065593441,target lower (favorable for error)
HAMD-17,HAMD17_strict_complete,CrossAI_Conservative-C,C03_GLM-5.2,cancellation_ratio_subject,61,-0.0088683869763104,-0.0729089004119741,0.0567592605166033,0.797920207979202,0.7979202079792019,target lower (favorable for error)
HAMD-17,HAMD17_strict_complete,CrossAI_Conservative-C,C03_Kimi-K2.6,total_MAE_subject,63,-0.3872952884857646,-0.8630824829931972,0.0993748425296042,0.1174882511748825,0.3524647535246475,target lower (favorable for error)
HAMD-17,HAMD17_strict_complete,CrossAI_Conservative-C,C03_Kimi-K2.6,item_NAE_subject,63,-0.0019160441954559,-0.0100795758118062,0.006202795933188,0.6559344065593441,0.6559344065593441,target lower (favorable for error)
HAMD-17,HAMD17_strict_complete,CrossAI_Conservative-C,C03_Kimi-K2.6,cancellation_ratio_subject,63,0.0793309632264658,0.009933173699708,0.1489785831330143,0.0358964103589641,0.1076892310768923,target higher
HAMD-17,HAMD17_strict_complete,CrossAI_Conservative-C,C03_Qwen3.7-Max,total_MAE_subject,57,-0.1134433305485937,-0.4923123781676413,0.2533067042606505,0.5768423157684232,0.6031396860313969,target lower (favorable for error)
HAMD-17,HAMD17_strict_complete,CrossAI_Conservative-C,C03_Qwen3.7-Max,item_NAE_subject,57,0.0070712934296525,-0.0004790340843939,0.014708551914918,0.0742925707429257,0.2228777122287771,target higher
HAMD-17,HAMD17_strict_complete,CrossAI_Conservative-C,C03_Qwen3.7-Max,cancellation_ratio_subject,57,0.0440431630855607,-0.0210637006552576,0.1123622062297134,0.2126787321267873,0.3190180981901809,target higher
HAMD-17,HAMD16_core,CrossAI_C03,C03_GLM-5.2,total_MAE_subject,99,-0.0797979797979798,-0.4475505050505051,0.2728282828282823,0.6592340765923408,0.6592340765923408,target lower (favorable for error)
HAMD-17,HAMD16_core,CrossAI_C03,C03_GLM-5.2,item_NAE_subject,99,-0.0027462121212121,-0.0093915719696969,0.0042613636363636,0.4402559744025597,0.6375362463753624,target lower (favorable for error)
HAMD-17,HAMD16_core,CrossAI_C03,C03_GLM-5.2,cancellation_ratio_subject,99,-0.0061604848904314,-0.0547441380704526,0.0468147596527721,0.8162183781621838,0.8162183781621838,target lower (favorable for error)
HAMD-17,HAMD16_core,CrossAI_C03,C03_Kimi-K2.6,total_MAE_subject,99,-0.6656565656565657,-1.0485858585858587,-0.2878282828282831,0.0010998900109989,0.0032996700329967,target lower (favorable for error)
HAMD-17,HAMD16_core,CrossAI_C03,C03_Kimi-K2.6,item_NAE_subject,99,-0.0044823232323232,-0.0121531723484848,0.0030938289141414,0.2462753724627537,0.6375362463753624,target lower (favorable for error)
HAMD-17,HAMD16_core,CrossAI_C03,C03_Kimi-K2.6,cancellation_ratio_subject,99,0.0920813966847835,0.0404662657892381,0.1439182477669554,0.0011998800119988,0.0035996400359964,target higher
HAMD-17,HAMD16_core,CrossAI_C03,C03_Qwen3.7-Max,total_MAE_subject,99,-0.1505050505050505,-0.4737878787878788,0.1667171717171714,0.3575642435756424,0.5363463653634637,target lower (favorable for error)
HAMD-17,HAMD16_core,CrossAI_C03,C03_Qwen3.7-Max,item_NAE_subject,99,0.0015151515151515,-0.0043406723484848,0.0077651515151515,0.6375362463753624,0.6375362463753624,target higher
HAMD-17,HAMD16_core,CrossAI_C03,C03_Qwen3.7-Max,cancellation_ratio_subject,99,0.0250513085317006,-0.0241495046018218,0.0722761070175285,0.317968203179682,0.4769523047695231,target higher
HAMD-17,HAMD16_core,CrossAI_Joint-A,C03_GLM-5.2,total_MAE_subject,99,-0.0333333333333333,-0.4687121212121211,0.4152020202020199,0.8841115888411158,0.8841115888411158,target lower (favorable for error)
HAMD-17,HAMD16_core,CrossAI_Joint-A,C03_GLM-5.2,item_NAE_subject,99,0.0125473484848484,0.0032666508838383,0.022427793560606,0.0157984201579842,0.0218978102189781,target higher
HAMD-17,HAMD16_core,CrossAI_Joint-A,C03_GLM-5.2,cancellation_ratio_subject,99,0.0164103615196588,-0.0345053628293261,0.0703302796552631,0.5313468653134686,0.5313468653134686,target higher
HAMD-17,HAMD16_core,CrossAI_Joint-A,C03_Kimi-K2.6,total_MAE_subject,99,-0.6191919191919192,-1.2232323232323232,-0.019116161616162,0.0523947605239476,0.1571842815718428,target lower (favorable for error)
HAMD-17,HAMD16_core,CrossAI_Joint-A,C03_Kimi-K2.6,item_NAE_subject,99,0.0108112373737373,0.0019720643939393,0.020028409090909,0.0218978102189781,0.0218978102189781,target higher
HAMD-17,HAMD16_core,CrossAI_Joint-A,C03_Kimi-K2.6,cancellation_ratio_subject,99,0.1146522430948737,0.042621966361447,0.1802230918710536,0.0014998500149985,0.0044995500449955,target higher
HAMD-17,HAMD16_core,CrossAI_Joint-A,C03_Qwen3.7-Max,total_MAE_subject,99,-0.104040404040404,-0.5092676767676768,0.3131818181818179,0.6320367963203679,0.8841115888411158,target lower (favorable for error)
HAMD-17,HAMD16_core,CrossAI_Joint-A,C03_Qwen3.7-Max,item_NAE_subject,99,0.0168087121212121,0.0092483428030303,0.0238817866161616,9.999000099990002e-05,0.0002999700029997,target higher
HAMD-17,HAMD16_core,CrossAI_Joint-A,C03_Qwen3.7-Max,cancellation_ratio_subject,99,0.0476221549417909,-0.0109111693377454,0.1069153813996199,0.1181881811818818,0.1772822717728227,target higher
HAMD-17,HAMD16_core,CrossAI_Joint-B,C03_GLM-5.2,total_MAE_subject,99,-0.098989898989899,-0.4930050505050505,0.3091161616161614,0.6314368563143685,0.6314368563143685,target lower (favorable for error)
